Dataset: 7-dimensional of shape [4, 16, 16, 7, 12, 12, 12]
Running Partition
[I 2025-12-12 19:01:17,026] A new study created in memory with name: no-name-2e9249be-8d22-41b9-932f-7428c28db43e
[I 2025-12-12 19:11:45,631] Trial 0 finished with value: 12.127230181071024 and parameters: {'policy': 'BUCB1', 'initial_children': 1, 'new_child_threshold': 3, 'C': 3.332364578819267e-05}. Best is trial 0 with value: 12.127230181071024.
[I 2025-12-12 21:51:37,167] Trial 16 finished with value: 12.925549352220909 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 5, 'C': 0.10249707914531961}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 22:01:47,411] Trial 17 finished with value: 13.141825100229074 and parameters: {'policy': 'BUCB2', 'initial_children': 2, 'new_child_threshold': 3, 'C': 0.0005120329577453057}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 22:11:48,515] Trial 18 finished with value: 13.425898753318496 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 4, 'C': 646.9371937446298}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 22:21:50,956] Trial 19 finished with value: 14.467454834782908 and parameters: {'policy': 'BUCB2', 'initial_children': 3, 'new_child_threshold': 8, 'C': 9207.736961357954}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 22:31:51,722] Trial 20 finished with value: 14.893896563566646 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 7, 'C': 128.73338729896153}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 22:42:03,266] Trial 21 finished with value: 14.542465193762922 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 4, 'C': 7.164906245896401}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 22:52:16,283] Trial 22 finished with value: 14.151585730091199 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 3, 'C': 1.996304931226743}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 23:02:24,535] Trial 23 finished with value: 15.022645924860077 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 4, 'C': 17.722545263334126}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 23:12:34,598] Trial 24 finished with value: 14.092083214461576 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 3, 'C': 0.22542414322599805}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 23:22:53,710] Trial 25 finished with value: 14.106182114841484 and parameters: {'policy': 'BUCB2', 'initial_children': 4, 'new_child_threshold': 4, 'C': 0.002976298880219666}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 23:33:10,783] Trial 26 finished with value: 13.705263722409843 and parameters: {'policy': 'NormalSampling', 'initial_children': 3, 'new_child_threshold': 5, 'C': 0.11563599018239198}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 23:43:23,968] Trial 27 finished with value: 14.800810858740544 and parameters: {'policy': 'BUCB1', 'initial_children': 5, 'new_child_threshold': 3, 'C': 701.0183567027659}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-12 23:53:35,116] Trial 28 finished with value: 15.071501351153566 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 4, 'C': 1.14783723164492e-05}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-13 00:03:44,802] Trial 29 finished with value: 12.413335041684423 and parameters: {'policy': 'BUCB1', 'initial_children': 1, 'new_child_threshold': 3, 'C': 6.479872737032059e-05}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-13 00:13:31,851] Trial 30 finished with value: 15.968941050340646 and parameters: {'policy': 'BUCB2', 'initial_children': 4, 'new_child_threshold': 3, 'C': 47.3985456102108}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-13 00:23:28,252] Trial 31 finished with value: 15.382660319105934 and parameters: {'policy': 'BUCB2', 'initial_children': 5, 'new_child_threshold': 3, 'C': 47.73255016803451}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-13 00:33:16,335] Trial 32 finished with value: 15.112949473420093 and parameters: {'policy': 'BUCB2', 'initial_children': 4, 'new_child_threshold': 3, 'C': 6.324652904662172}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-13 00:43:02,065] Trial 33 finished with value: 15.81934577791676 and parameters: {'policy': 'BUCB2', 'initial_children': 5, 'new_child_threshold': 4, 'C': 0.6502994936796092}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-13 00:52:59,479] Trial 34 finished with value: 16.646690469407567 and parameters: {'policy': 'BUCB2', 'initial_children': 4, 'new_child_threshold': 3, 'C': 1.4103715285989307}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-13 01:03:05,732] Trial 35 finished with value: 14.896167702375763 and parameters: {'policy': 'NormalSampling', 'initial_children': 5, 'new_child_threshold': 4, 'C': 2.6107072184546323}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-13 01:13:03,577] Trial 36 finished with value: 16.332442715594944 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 0.02879735861709737}. Best is trial 5 with value: 17.114369234727683.
[I 2025-12-13 01:22:55,041] Trial 37 finished with value: 17.395625254790065 and parameters: {'policy': 'BUCB2', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.001563946943204896}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 01:32:50,408] Trial 38 finished with value: 15.388363748651273 and parameters: {'policy': 'BUCB2', 'initial_children': 3, 'new_child_threshold': 7, 'C': 0.00032992471635224775}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 01:42:45,939] Trial 39 finished with value: 15.01139417890693 and parameters: {'policy': 'BUCB2', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.0023315510186998904}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 01:52:51,330] Trial 40 finished with value: 14.765153382230839 and parameters: {'policy': 'BUCB2', 'initial_children': 2, 'new_child_threshold': 6, 'C': 0.00012657516027760656}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 02:02:55,155] Trial 41 finished with value: 15.141697535142114 and parameters: {'policy': 'BUCB2', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.022750817181920246}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 02:13:00,568] Trial 42 finished with value: 14.212863810781863 and parameters: {'policy': 'BUCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 0.04991784541220879}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 02:23:06,693] Trial 43 finished with value: 13.421399960524692 and parameters: {'policy': 'NormalSampling', 'initial_children': 4, 'new_child_threshold': 3, 'C': 0.005099571271274408}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 02:33:14,916] Trial 44 finished with value: 15.092679005255329 and parameters: {'policy': 'BUCB2', 'initial_children': 3, 'new_child_threshold': 4, 'C': 0.0011834577731042197}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 02:43:26,415] Trial 45 finished with value: 14.22865566303452 and parameters: {'policy': 'UCB1', 'initial_children': 2, 'new_child_threshold': 3, 'C': 0.008664564190305625}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 02:53:21,112] Trial 46 finished with value: 15.320933398167327 and parameters: {'policy': 'BUCB2', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.23087138388797576}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 03:03:16,979] Trial 47 finished with value: 13.776366520484595 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.8370934487136676}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 03:13:15,295] Trial 48 finished with value: 15.577520116506573 and parameters: {'policy': 'BUCB2', 'initial_children': 4, 'new_child_threshold': 4, 'C': 0.06546279995164822}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 03:23:20,242] Trial 49 finished with value: 14.47890921314936 and parameters: {'policy': 'BUCB1', 'initial_children': 4, 'new_child_threshold': 5, 'C': 2796.1389474035677}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 03:33:30,706] Trial 50 finished with value: 15.165127314765423 and parameters: {'policy': 'NormalSampling', 'initial_children': 2, 'new_child_threshold': 3, 'C': 0.011159263709210245}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 03:43:28,565] Trial 51 finished with value: 15.803834167013969 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 4, 'C': 1.0241760073473092}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 03:53:41,783] Trial 52 finished with value: 15.1808650415009 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 4, 'C': 5.912072772542505}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 04:03:43,093] Trial 53 finished with value: 13.382473607294054 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 0.38622203252628445}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 04:13:50,815] Trial 54 finished with value: 17.18554357448491 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 3, 'C': 262.5278009357166}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 04:23:59,577] Trial 55 finished with value: 16.697000168765037 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 269.78350155645205}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 04:34:04,961] Trial 56 finished with value: 14.020349515721062 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 3, 'C': 603.8044478073919}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 04:43:54,321] Trial 57 finished with value: 15.5910569789195 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 3, 'C': 273.2581895446305}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 04:53:49,720] Trial 58 finished with value: 13.655974156809199 and parameters: {'policy': 'BUCB2', 'initial_children': 3, 'new_child_threshold': 6, 'C': 9823.359370419194}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 05:03:42,865] Trial 59 finished with value: 15.471087630457442 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 19.463974098474896}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 05:13:37,788] Trial 60 finished with value: 12.921251448957353 and parameters: {'policy': 'BUCB2', 'initial_children': 5, 'new_child_threshold': 4, 'C': 1714.9191221933934}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 05:23:41,511] Trial 61 finished with value: 14.135442288717105 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 133.46379106902535}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 05:33:52,052] Trial 62 finished with value: 13.21299204333307 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 164.8841369973303}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 05:43:55,552] Trial 63 finished with value: 14.871981700979367 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 3, 'C': 4440.971745841342}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 05:53:55,652] Trial 64 finished with value: 15.046080813870754 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 0.1289502971362784}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 06:03:59,542] Trial 65 finished with value: 15.102143782137068 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 3, 'C': 1091.4011856028415}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 06:13:48,650] Trial 66 finished with value: 15.843122177445057 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 326.80496807286704}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 06:23:22,242] Trial 67 finished with value: 15.478037909775697 and parameters: {'policy': 'BUCB2', 'initial_children': 3, 'new_child_threshold': 4, 'C': 1.6194330104757053}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 06:32:56,393] Trial 68 finished with value: 15.248677152033693 and parameters: {'policy': 'BUCB1', 'initial_children': 5, 'new_child_threshold': 7, 'C': 12.341924260419342}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 06:42:57,977] Trial 69 finished with value: 16.988903289372246 and parameters: {'policy': 'UCB1', 'initial_children': 1, 'new_child_threshold': 3, 'C': 0.03667112427855913}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 06:52:49,345] Trial 70 finished with value: 14.554789600397168 and parameters: {'policy': 'NormalSampling', 'initial_children': 1, 'new_child_threshold': 8, 'C': 68.15321842542427}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 07:02:49,806] Trial 71 finished with value: 14.652803872268711 and parameters: {'policy': 'UCB1', 'initial_children': 1, 'new_child_threshold': 3, 'C': 0.02381273478648682}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 07:12:34,229] Trial 72 finished with value: 16.52652063498507 and parameters: {'policy': 'UCB1', 'initial_children': 2, 'new_child_threshold': 3, 'C': 0.04172817541515109}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 07:22:22,748] Trial 73 finished with value: 14.407028776404237 and parameters: {'policy': 'UCB1', 'initial_children': 1, 'new_child_threshold': 3, 'C': 0.14497726069129185}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 07:32:14,065] Trial 74 finished with value: 14.28507495775311 and parameters: {'policy': 'UCB1', 'initial_children': 2, 'new_child_threshold': 3, 'C': 0.05482463588205451}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 07:42:11,160] Trial 75 finished with value: 15.388593897007103 and parameters: {'policy': 'BUCB2', 'initial_children': 2, 'new_child_threshold': 3, 'C': 0.001294719768760276}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 07:52:19,121] Trial 76 finished with value: 14.28009253361384 and parameters: {'policy': 'UCB1', 'initial_children': 1, 'new_child_threshold': 3, 'C': 0.0035148872025323875}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 08:02:04,176] Trial 77 finished with value: 13.768749411265253 and parameters: {'policy': 'BUCB2', 'initial_children': 2, 'new_child_threshold': 3, 'C': 0.00028115737071034716}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 08:11:54,712] Trial 78 finished with value: 15.849261025343049 and parameters: {'policy': 'UCB1', 'initial_children': 2, 'new_child_threshold': 4, 'C': 4623.046030407238}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 08:21:47,590] Trial 79 finished with value: 14.177451370953602 and parameters: {'policy': 'BUCB2', 'initial_children': 1, 'new_child_threshold': 3, 'C': 3.2401389289366196}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 08:31:53,364] Trial 80 finished with value: 13.34229674222297 and parameters: {'policy': 'UCB1', 'initial_children': 2, 'new_child_threshold': 3, 'C': 0.01460133208122117}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 08:41:51,123] Trial 81 finished with value: 14.258502167838532 and parameters: {'policy': 'UCB1', 'initial_children': 4, 'new_child_threshold': 3, 'C': 0.03470649190326043}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 08:52:02,200] Trial 82 finished with value: 13.751316847441037 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.4905526166009921}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 09:02:09,448] Trial 83 finished with value: 15.39156788183378 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 3, 'C': 0.08429947506740149}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 09:12:14,372] Trial 84 finished with value: 14.332029870384684 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.23246399933677128}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 09:22:16,887] Trial 85 finished with value: 17.290290595132593 and parameters: {'policy': 'BUCB2', 'initial_children': 5, 'new_child_threshold': 3, 'C': 0.005513703388003162}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 09:32:14,015] Trial 86 finished with value: 15.50855031059607 and parameters: {'policy': 'BUCB2', 'initial_children': 5, 'new_child_threshold': 4, 'C': 0.004535732916666442}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 09:42:11,883] Trial 87 finished with value: 13.578731644766208 and parameters: {'policy': 'BUCB2', 'initial_children': 5, 'new_child_threshold': 3, 'C': 0.0006995517850930736}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 09:52:06,790] Trial 88 finished with value: 14.185984328732228 and parameters: {'policy': 'BUCB2', 'initial_children': 5, 'new_child_threshold': 3, 'C': 0.001979920750291519}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 10:02:10,803] Trial 89 finished with value: 13.506108974070097 and parameters: {'policy': 'BUCB2', 'initial_children': 5, 'new_child_threshold': 3, 'C': 0.0074967601318806105}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 10:12:21,134] Trial 90 finished with value: 14.819644302341999 and parameters: {'policy': 'BUCB1', 'initial_children': 5, 'new_child_threshold': 4, 'C': 30.927363818470255}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 10:22:24,779] Trial 91 finished with value: 16.223004613628113 and parameters: {'policy': 'BUCB2', 'initial_children': 4, 'new_child_threshold': 3, 'C': 0.017775711319832715}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 10:32:31,984] Trial 92 finished with value: 14.054651900060895 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.04894429514987917}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 10:42:58,259] Trial 93 finished with value: 14.49349734001504 and parameters: {'policy': 'NormalSampling', 'initial_children': 4, 'new_child_threshold': 3, 'C': 0.037752322579812515}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 10:52:59,121] Trial 94 finished with value: 13.616064379523133 and parameters: {'policy': 'BUCB2', 'initial_children': 5, 'new_child_threshold': 3, 'C': 0.008998850766872221}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 11:03:04,772] Trial 95 finished with value: 16.805172896139986 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.014000614448974345}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 11:13:10,892] Trial 96 finished with value: 13.676805052479285 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.0019032344379407802}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 11:23:07,733] Trial 97 finished with value: 14.981993334277828 and parameters: {'policy': 'BUCB2', 'initial_children': 2, 'new_child_threshold': 3, 'C': 0.015334200679869276}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 11:33:06,142] Trial 98 finished with value: 14.89659054412277 and parameters: {'policy': 'UCB1', 'initial_children': 3, 'new_child_threshold': 3, 'C': 0.005841855891559816}. Best is trial 37 with value: 17.395625254790065.
[I 2025-12-13 11:43:10,736] Trial 99 finished with value: 17.10425313296685 and parameters: {'policy': 'UCB1', 'initial_children': 5, 'new_child_threshold': 3, 'C': 0.15397740232190024}. Best is trial 37 with value: 17.395625254790065.
CR = 22.027340547557863, Run Time = 1534.954321861267 s, Preprocessing Time = 58.311835289001465 s, Iteration Count = 83455
policy:BUCB2
initial_children:3
new_child_threshold:3
C:0.001563946943204896
Dataset: 7-dimensional of shape [4, 16, 16, 7, 12, 12, 12]
